,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
78,0.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
79,0.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
80,1.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
81,1.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
82,2.0,0.0,15.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
83,2.0,0.0,15.0,0.0,2.0,1.0,0.0,7.0,1.0,6.0,20.0
84,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
85,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
86,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
87,1.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
88,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
89,2.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,0.1,7.8,20.0
90,0.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
91,0.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
92,1.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
93,1.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
94,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
95,2.0,0.0,15.0,0.0,2.0,1.0,0.0,3.0,1.0,7.8,20.0
96,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
97,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
98,1.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
99,1.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
100,2.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,0.1,7.8,20.0
101,2.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,0.1,7.8,20.0
102,0.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,7.8,20.0
103,0.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,7.8,20.0
104,1.0,0.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,7.8,20.0
105,1.0,0.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,7.8,20.0
