,capacity_policy,minfood_access_policy,ration_size_policy,day_access_policy,rerouting_policy,alpha,beta,gamma,epsilon,parallel_served_full,avg_interactions
83,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
84,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
85,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
86,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,6.0,20.0
87,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
88,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
89,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,0.1,7.8,20.0
90,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
91,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
92,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,20.0
93,0.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
94,1.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
95,2.0,0.0,30.0,0.0,0.0,1.0,0.0,7.0,1.0,7.8,20.0
96,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
97,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
98,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,6.0,20.0
99,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
100,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
101,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,0.1,7.8,20.0
102,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
103,1.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
104,2.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,20.0
105,0.0,0.0,30.0,0.0,0.0,1.0,0.0,3.0,1.0,7.8,20.0
